timestamp,filename,category,jira,commit,status,notes
20260523152300,20260523152300_event_live_stats.sql,A - Historical,,c80566b feat(db): add event_live_stats read model,unknown,
20260523154500,20260523154500_event_live_stats_maintenance.sql,A - Historical,,723ed09 feat(db): maintain event_live_stats counters,unknown,
20260523160000,20260523160000_fk_indexes.sql,A - Historical,,27c16ed perf(db): add missing foreign key indexes,unknown,
20260523161000,20260523161000_rls_policy_cleanup.sql,A - Historical,,24a4250 perf(db): consolidate permissive RLS policies,unknown,
20260523164000,20260523164000_public_event_cards.sql,A - Historical,,76d87be feat(db): add public event card read model,unknown,
20260524170000,20260524170000_fix_public_event_cards_price_aggregation.sql,A - Historical,,76d87be feat(db): add public event card read model,unknown,
20260524180000,20260524180000_search_events_trust_signals.sql,A - Historical,TICK-2,"9573991 feat(discovery): visible /search filter bar + trust signals on rows (TICK-2, TICK-43, TICK-44)",unknown,
20260524190000,20260524190000_harden_security_definer_surface.sql,A - Historical,TICK-36,f7aafcb fix(db): harden exposed SECURITY DEFINER surface (TICK-36),unknown,
20260524200000,20260524200000_event_readiness_v2.sql,A - Historical,TICK-37,cb7077e feat(organizer): event readiness checklist + go-live gate (TICK-37),unknown,
20260525120000,20260525120000_pre_payment_validation.sql,A - Historical,TICK-46,4f1c126 feat(checkout): pre-payment validation hardening (TICK-46),unknown,
20260525130000,20260525130000_my_tickets_status_columns.sql,A - Historical,TICK-55,c9c0343 feat(tickets): status-aware My Tickets + QR display (TICK-55),unknown,
20260528120000,20260528120000_finance_payout_workspace.sql,A - Historical,TICK-39,"0d31cae feat(finance): organizer balance + payout request, admin payout queue (TICK-39)",unknown,
20260528140000,20260528140000_fix_guestlist_issue_rpc.sql,A - Historical,TICK-40,564b1e2 feat(guestlist): complimentary ticket issuing via approved RPC (TICK-40),unknown,
20260528160000,20260528160000_resale_waitlist_webhook_completion.sql,A - Historical,TICK-41,562f57c feat(checkout): provider completion handoff for resale & waitlist (TICK-41),unknown,
20260528180000,20260528180000_rls_initplan_optimization.sql,A - Historical,TICK-42,8b6e124 perf(db): optimize RLS initplan + collapse event_live_stats policies (TICK-42),unknown,
20260528200000,20260528200000_create_organization_rpc.sql,A - Historical,TICK-47,b7259f6 feat(organizer): real org creation + multi-org picker (TICK-47),unknown,
20260529120000,20260529120000_seed_payment_routing_and_flags.sql,A - Historical,TICK-59,0187223 feat: TICK-59/62/68/70 — production launch prep,unknown,
20260530120000,20260530120000_anonymous_user_hygiene.sql,A - Historical,TICK-79,bd5fde0 feat(ops): anonymous user hygiene cleanup cron — TICK-79,unknown,
20260530130000,20260530130000_transfer_ownership.sql,A - Historical,,dd50c73 fix: three confirmed UI/API contract gaps,unknown,
20260530140000,20260530140000_ticket_availability_fn.sql,A - Historical,,62dbbca fix: accurate ticket availability counts and guest checkout,unknown,
20260530150000,20260530150000_fn_scan_ticket.sql,A - Historical,TICK-82,54591c9 feat(scanner): atomic scan validation via fn_scan_ticket RPC (TICK-82),unknown,
20260531000000,20260531000000_fn_create_seat_hold.sql,A - Historical,,19bad32 fix(checkout): wire up seat hold creation on Get Tickets click,unknown,
20260619000000,20260619000000_fn_create_seat_hold_add_ticket_type.sql,A - Historical,TICK-144,31fa420 feat(TICK-144): add ticket type selector to event detail page,unknown,
20260620120000,20260620120000_webhooks_unique_provider_event.sql,A - Historical,TICK-178,f90cfd7 fix(TICK-178): harden Paystack webhook completion,unknown,
20260620130000,20260620130000_security_advisor_remediation.sql,A - Historical,TICK-176,17668b1 feat(TICK-176): add DB security advisor remediation migration,unknown,
20260620170000,20260620170000_index_hygiene.sql,A - Historical,TICK-181,07fe69d TICK-181: index hygiene migration + ops runbook,unknown,
20260621000001,20260621000001_finance_date_range.sql,A - Historical,TICK-188,"b5744be feat(organizer): fix revenue mock, search/filter events, finance date range, CSV export (TICK-188/223/225/231/233/234)",unknown,
20260621090000,20260621090000_event_payment_providers.sql,A - Historical,,22de5e5 feat(payments): event-level payment-provider lock,unknown,
20260621100000,20260621100000_drop_deltapay_provider.sql,A - Historical,,a75ad6b chore(db): record applied deltapay-drop migration for repo/DB parity,unknown,
20260621110000,20260621110000_bulk_checkin_and_comp_ticket_rpcs.sql,A - Historical,TICK-235,73a5f98 feat(organizer): bulk check-in and comp ticket issuance (TICK-235/237),unknown,
20260621120000,20260621120000_fn_toggle_favourite.sql,A - Historical,TICK-202,"7dac6d2 feat(TICK-202, TICK-204): save/favourites via RPC + checked-in badge de-emphasis",unknown,
20260621130000,20260621130000_fn_request_transfer_by_email.sql,A - Historical,TICK-203,fc5ea8c feat(TICK-203): inline transfer modal on /tickets with email-based recipient lookup,unknown,
20260622053806,20260622053806_email_attendee_broadcast_rate_limit.sql,A - Historical,TICK-236,079e14a feat(TICK-236): email attendees compose action,unknown,
20260622100000,20260622100000_fn_duplicate_event.sql,A - Historical,TICK-228,4feddb0 feat(TICK-228): event duplication via fn_duplicate_event RPC,unknown,
20260622110000,20260622110000_event_status_paused_transition.sql,A - Historical,TICK-229,89a3c0b feat(TICK-229): pause/archive event status transitions with confirmation modal,unknown,
20260622120000,20260622120000_account_settings_rpcs.sql,A - Historical,TICK-207,"a5108da feat(TICK-207): unified account settings page (profile, notifications, preferences)",unknown,
